Nom_Intersection,Longitude,Latitude,total
Cavendish / Sherbrooke,-73.595261,45.464653,37448
Église / Saint-Patrick,-73.572284,45.492534,11718
Guy / Saint-Antoine,-73.72325,45.529705,14403
Gouin / Laurentien,-73.714322,45.526461,32888
Lachapelle / Salaberry,-73.592619,45.445291,22828
La Vérendrye / Trinitaires,-73.575063,45.592041,31701
Jean-Talon / Langelier,-73.600627,45.603463,43937
Couture / Langelier,-73.647837,45.471639,16687
Cavendish / Côte-Saint-Luc,-73.62897,45.463725,33064
Cavendish / Sherbrooke,-73.595261,45.464653,37778
Église / Saint-Patrick,-73.572284,45.492534,11604
Guy / Saint-Antoine,-73.72325,45.529705,17653
Gouin / Laurentien,-73.714322,45.526461,33514
Lachapelle / Salaberry,-73.592619,45.445291,23576
La Vérendrye / Trinitaires,-73.575063,45.592041,32388
Jean-Talon / Langelier,-73.600627,45.603463,43387
Couture / Langelier,-73.647837,45.471639,16367
Cavendish / Côte-Saint-Luc,-73.62897,45.463725,32730
Cavendish / Sherbrooke,-73.595261,45.464653,37823
Église / Saint-Patrick,-73.572284,45.492534,12132
Guy / Saint-Antoine,-73.72325,45.529705,18352
Gouin / Laurentien,-73.714322,45.526461,33001
Lachapelle / Salaberry,-73.592619,45.445291,23104
La Vérendrye / Trinitaires,-73.575063,45.592041,32468
Jean-Talon / Langelier,-73.600627,45.603463,45053
Couture / Langelier,-73.593324,45.469327,16846
Côte-Saint-Paul / Notre-Dame,-73.588763,45.47274,4584
Courcelle / Notre-Dame,-73.587898,45.526233,8628
Saint-Denis / Saint-Joseph,-73.490247,45.639946,22683
Notre-Dame / Saint-Jean-Baptiste,-73.589517,45.524446,14020
avenue de l' Hôtel-de-Ville / boulevard Saint-Joseph,-73.57535,45.524869,10866
rue de Mentana / rue Rachel,-73.595115,45.468757,10510
Carillon / Notre-Dame,-73.600074,45.466588,3651
Monk / Notre-Dame,-73.490247,45.639946,5261
Notre-Dame / Saint-Jean-Baptiste,-73.575872,45.520741,13425
Duluth / Saint-Denis,-73.574298,45.522485,14404
Duluth / Saint-Hubert,-73.580573,45.522895,7851
Marie-Anne / Saint-Denis,-73.578945,45.52461,16075
Marie-Anne / Saint-Hubert,-73.576595,45.523523,7419
Rachel / Saint-Hubert,-73.578181,45.521812,14097
Rachel / Saint-Denis,-73.576198,45.566593,22371
29 e Avenue / Beaubien,-73.577687,45.564925,6842
26 e Avenue / Beaubien,-73.575204,45.567747,5698
31 e Avenue / Beaubien,-73.570109,45.573584,6025
41 e Avenue / Beaubien,-73.563682,45.583003,6030
Beaubien / Beaubien (pl),-73.571153,45.572383,6011
39 e Avenue / Beaubien,-73.490247,45.639946,6432
Notre-Dame / Saint-Jean-Baptiste,-73.577266,45.522802,14329
Berri / Rachel,-73.556427,45.583864,10931
Carignan / Rosemont,-73.564136,45.574983,8118
Assomption / Bellechasse,-73.568503,45.569977,7304
Bellechasse / Viau,-73.561922,45.575637,10822
Chatelain / Rosemont,-73.557595,45.572628,11209
Assomption / Saules des,-73.561024,45.577026,9222
Rosemont / 5689 (Hôp. Maisonneuve-R.),-73.579992,45.519825,9557
Hôtel-de-Ville / Rachel,-73.579132,45.520776,8147
Henri-Julien / Rachel,-73.580835,45.51893,8613
Coloniale / Rachel,-73.594987,45.534899,8228
Christophe-Colomb / Rosemont,-73.510756,45.65279,18070
Sherbrooke / Tricentenaire,-73.487941,45.64907,25302
Notre-Dame / Tricentenaire,-73.506423,45.642603,10974
Montigny / Saint-Jean-Baptiste,-73.516787,45.653701,11261
Industriel / Tricentenaire,-73.595687,45.534131,9873
Boyer / Rosemont,-73.548554,45.66845,12937
boulevard Saint-Jean-Baptiste / boulevard Perras,-73.560351,45.664239,4934
avenue 71e / boulevard Gouin,-73.558391,45.661662,1622
avenue 71e / boulevard Perras,-73.541995,45.671939,6112
avenue 87e / boulevard Gouin,-73.541476,45.671217,2134
avenue 87e / boulevard Perras,-73.550523,45.670601,3155
boulevard Gouin / boulevard Saint-Jean-Baptiste,-73.580184,45.638551,1288
Rita-Levi-Montalcini / Maurice-Duplessis,-73.586015,45.644111,10580
avenue Alexis-Carrel / boulevard Perras,-73.580424,45.650761,11612
boulevard Rodolphe-Forget / avenue Fernand-Forest,-73.589371,45.645877,4270
avenue Alexis-Carrel / avenue Fernand-Forest,-73.567807,45.656789,1613
boulevard de la Rivière-des-Prairies / boulevard Perras,-73.591649,45.647925,9011
avenue Alexis-Carrel / boulevard Gouin,-73.871541,45.490562,1521
Cherrier / Jacques-Bizard,-73.903582,45.507221,23772
chemin du Bord-du-Lac / montée de l' Église,-73.878964,45.486411,1903
chemin Cherrier / montée de l' Église,-73.883235,45.490011,6498
boulevard Chèvremont / montée de l' Église,-73.875761,45.494297,5783
boulevard Chèvremont / boulevard Jacques-Bizard,-73.868986,45.46224,11203
Oakwood / Saint-Charles,-73.549565,45.527834,26878
Fullum / Maisonneuve,-73.558799,45.605364,9919
boulevard Châteauneuf / boulevard Joseph-Renaud,-73.546294,45.604568,8275
boulevard Joseph-Renaud / boulevard Yves-Prévost,-73.538079,45.569876,11742
Dickson / Hochelaga,-73.555103,45.530428,31612
Fullum / Ontario,-73.570672,45.659599,17350
boulevard de la Rivière-des-Prairies / boulevard Gouin,-73.608806,45.420171,1487
rue Centrale / rue Raymond,-73.625705,45.444386,4175
rue Cordner / rue Léger,-73.621116,45.447252,14517
rue Cordner / rue Senkus,-73.625861,45.426263,15527
Dollard / Jean-Brillon,-73.623558,45.425145,11657
Dollard / Salley,-73.614643,45.436781,10597
rue Jean-Brillon / rue Lapierre,-73.680217,45.439949,12098
rue Saint-Antoine / avenue 18e,-73.59298,45.532919,6288
rue Boyer / rue des Carrières,-73.577835,45.495033,6079
Guy / Sainte-Catherine,-73.569968,45.491424,44161
Guy / Saint-Jacques,-73.577835,45.495033,16196
Guy / Sainte-Catherine,-73.569968,45.491424,40534
Guy / Saint-Jacques,-73.574227,45.487018,14241
Georges-Vanier / Saint-Jacques,-73.572095,45.489161,13214
Saint-Jacques / Seigneurs,-73.554824,45.516439,13134
Atateken / René-Lévesque,-73.664399,45.540082,20709
Meilleur / Sauvé,-73.675275,45.543366,23721
Henri-Bourassa / Meilleur,-73.629695,45.615855,24125
Lacordaire / Léger,-73.642487,45.532047,18186
avenue Champagneur / rue de Liège,-73.669255,45.54138,6331
rue Meilleur / rue Fleury,-73.650326,45.583921,6376
Henri-Bourassa / Saint-Michel,-73.626701,45.604417,23887
Henri-Bourassa / Salk,-73.571346,45.462979,22645
Église de l' / Verdun,-73.567191,45.490098,11060
Guy / Notre-Dame,-73.559079,45.511744,11982
René-Lévesque / Sanguinet,-73.539933,45.541144,19424
Davidson / Sainte-Catherine,-73.508807,45.658438,9757
