Nom_Intersection,Longitude,Latitude,total
Notre-Dame / Voie du Petit-Talus,-73.629517,45.4522,6018
Voie de l'escarpement / Voie du Petit-Talus,-73.60706,45.463941,7214
Notre-Dame / Pullman,-73.623483,45.453801,3953
Notre-Dame / Voie du Grand-Talus,-73.593962,45.475174,3675
Courcelle / Saint-Antoine/Saint-Jacques,-73.55111,45.519995,22996
rue Alexandre-DeSève / boulevard René-Lévesque,-73.618713,45.519176,12007
Ducharme / McEachran,-73.617497,45.520527,9266
avenue Ducharme / avenue Stuart,-73.623155,45.532122,6370
rue du Mile End / rue De Castelnau,-73.621144,45.534319,4052
rue Saint-Urbain / rue De Castelnau,-73.621635,45.533777,2154
rue Waverly / rue De Castelnau,-73.622148,45.533215,2986
rue Alexandra / rue De Castelnau,-73.622653,45.53267,2889
rue Marconi / rue De Castelnau,-73.620044,45.535363,3298
Castelnau / Saint-Laurent,-73.618858,45.534069,18223
Clark / Jean-Talon,-73.588794,45.47867,17727
rue du Collège / rue Saint-Antoine,-73.590945,45.476828,8271
rue Lacasse / rue Saint-Antoine,-73.589881,45.477742,9798
rue Saint-Philippe / rue Saint-Antoine,-73.566684,45.483195,9572
rue Island / rue Saint-Patrick,-73.55316,45.478523,9505
avenue Ash / rue Le Ber,-73.55311,45.480568,1919
rue Sainte-Madeleine / rue Le Ber,-73.605968,45.451751,2354
avenue Irwin / avenue Newman,-73.652808,45.461399,11781
avenue de Chester / rue West Broadway,-73.563135,45.480338,3840
rue Grand Trunk / rue Island,-73.630845,45.459536,2038
boulevard De Maisonneuve / rue Park Row Ouest,-73.578715,45.465417,2509
rue Dupuis / rue Hickson,-73.649742,45.425219,4382
rue Airlie / boulevard Newman,-73.648278,45.428373,3810
avenue Lafleur / rue Wanklyn,-73.645758,45.440494,4565
Dollard / Saint-Patrick,-73.629233,45.427879,12684
David-Boyer / Dollard,-73.584572,45.445396,6503
rue Beurling / rue Stephens,-73.647054,45.421756,2167
rue Behrens / rue Centrale,-73.6233,45.419265,2623
rue Beyries / avenue Latour,-73.589729,45.43917,2583
rue Crawford / rue Ouimet,-73.651682,45.420981,1921
avenue Lafleur / boulevard LaSalle,-73.686484,45.441842,9968
25 e Avenue / Provost,-73.669385,45.440029,9015
rue Saint-Antoine / avenue 6e,-73.693917,45.433241,4645
boulevard Saint-Joseph / avenue 34e,-73.677456,45.433555,7034
rue Saint-Louis / avenue 15e,-73.676926,45.444953,2171
rue Sherbrooke / avenue 14e,-73.618469,45.422996,2179
boulevard Champlain / avenue 35e,-73.701265,45.444886,8336
rue Sherbrooke / avenue 40e,-73.569247,45.519079,1992
Berri / Cherrier,-73.579388,45.516965,20565
Duluth / Saint-Laurent,-73.598348,45.558833,24982
Jean-Talon / Saint-Michel,-73.580398,45.553225,47669
Rosemont / Saint-Michel,-73.603343,45.527847,44644
Arcade / Saint-Laurent,-73.569247,45.519079,18590
Berri / Cherrier,-73.579388,45.516965,23387
Duluth / Saint-Laurent,-73.598348,45.558833,27943
Jean-Talon / Saint-Michel,-73.580398,45.553225,48379
Rosemont / Saint-Michel,-73.603343,45.527847,47143
Arcade / Saint-Laurent,-73.569247,45.519079,21254
Berri / Cherrier,-73.579388,45.516965,19097
Duluth / Saint-Laurent,-73.598348,45.558833,26740
Jean-Talon / Saint-Michel,-73.580398,45.553225,49060
Rosemont / Saint-Michel,-73.603343,45.527847,46728
Arcade / Saint-Laurent,-73.567177,45.509817,19976
Maisonneuve / Saint-Urbain,-73.564691,45.496892,16021
Cathédrale / Saint-Jacques,-73.565369,45.496197,21186
Peel / Saint-Jacques,-73.562564,45.507707,18036
René-Lévesque / Saint-Urbain,-73.561111,45.504842,37509
Jeanne-Mance / Viger,-73.567462,45.51691,12216
Saint-Denis / Sherbrooke,-73.559435,45.525877,35270
Ontario / Papineau,-73.567177,45.509817,43195
Maisonneuve / Saint-Urbain,-73.564691,45.496892,17848
Cathédrale / Saint-Jacques,-73.565369,45.496197,21527
Peel / Saint-Jacques,-73.562564,45.507707,19586
René-Lévesque / Saint-Urbain,-73.561111,45.504842,41253
Jeanne-Mance / Viger,-73.567462,45.51691,13942
Saint-Denis / Sherbrooke,-73.559435,45.525877,39005
Ontario / Papineau,-73.567177,45.509817,45721
Maisonneuve / Saint-Urbain,-73.564691,45.496892,18195
Cathédrale / Saint-Jacques,-73.565369,45.496197,22196
Peel / Saint-Jacques,-73.562564,45.507707,19484
René-Lévesque / Saint-Urbain,-73.561111,45.504842,43105
Jeanne-Mance / Viger,-73.567462,45.51691,14453
Saint-Denis / Sherbrooke,-73.559435,45.525877,40784
Ontario / Papineau,-73.604396,45.469104,46585
Girouard / Saint-Jacques,-73.622569,45.48091,15910
Côte-Saint-Luc / Décarie inter. Est,-73.622872,45.48059,39141
Côte-Saint-Luc / Décarie inter. Ouest,-73.604396,45.469104,40250
Girouard / Saint-Jacques,-73.622569,45.48091,15827
Côte-Saint-Luc / Décarie inter. Est,-73.622872,45.48059,39547
Côte-Saint-Luc / Décarie inter. Ouest,-73.604396,45.469104,41264
Girouard / Saint-Jacques,-73.622569,45.48091,16782
Côte-Saint-Luc / Décarie inter. Est,-73.622872,45.48059,40416
Côte-Saint-Luc / Décarie inter. Ouest,-73.581946,45.50455,41878
Peel / Pins,-73.579261,45.49567,15536
Guy / Maisonneuve,-73.581946,45.50455,51349
Peel / Pins,-73.579261,45.49567,16306
Guy / Maisonneuve,-73.581946,45.50455,50497
Peel / Pins,-73.579261,45.49567,17730
Guy / Maisonneuve,-73.562564,45.507707,52157
René-Lévesque / Saint-Urbain,-73.559435,45.525877,42323
Ontario / Papineau,-73.562564,45.507707,45096
René-Lévesque / Saint-Urbain,-73.559435,45.525877,47001
Ontario / Papineau,-73.562564,45.507707,50008
René-Lévesque / Saint-Urbain,-73.559435,45.525877,47098
Ontario / Papineau,-73.647026,45.442309,49268
Notre-Dame / Saint-Pierre (Lachine),-73.611981,45.629439,29264
Louis-Hypolyte-La Fontaine/Perras Int. Ouest,-73.647026,45.442309,24711
Notre-Dame / Saint-Pierre (Lachine),-73.611981,45.629439,31383
Louis-Hypolyte-La Fontaine/Perras Int. Ouest,-73.647026,45.442309,25234
Notre-Dame / Saint-Pierre (Lachine),-73.611981,45.629439,31470
Louis-Hypolyte-La Fontaine/Perras Int. Ouest,-73.553767,45.523257,24927
Maisonneuve / Papineau,-73.536228,45.652355,39613
Henri-Bourassa Est / Saint-Jean-Baptiste,-73.561912,45.501372,32771
Saint-Antoine / Square Victoria Ouest,-73.553767,45.523257,17909
Maisonneuve / Papineau,-73.536228,45.652355,40893
Henri-Bourassa Est / Saint-Jean-Baptiste,-73.561912,45.501372,31955
Saint-Antoine / Square Victoria Ouest,-73.553767,45.523257,19154
Maisonneuve / Papineau,-73.536228,45.652355,38671
Henri-Bourassa Est / Saint-Jean-Baptiste,-73.561912,45.501372,31257
Saint-Antoine / Square Victoria Ouest,-73.66821,45.55522,19036
Henri-Bourassa / Lajeunesse,-73.621449,45.555067,34114
Crémazie / Papineau inter. Nord-Est,-73.602012,45.568305,30072
19 e Avenue / Crémazie inter. Nord,-73.66821,45.55522,18456
Henri-Bourassa / Lajeunesse,-73.621449,45.555067,37196
Crémazie / Papineau inter. Nord-Est,-73.602012,45.568305,30866
19 e Avenue / Crémazie inter. Nord,-73.66821,45.55522,21000
Henri-Bourassa / Lajeunesse,-73.621449,45.555067,35957
Crémazie / Papineau inter. Nord-Est,-73.602012,45.568305,27219
19 e Avenue / Crémazie inter. Nord,-73.554424,45.565341,17620
Sherbrooke / Viau,-73.612388,45.426732,127985
Champlain / Gagné,-73.549749,45.52138,11853
Papineau / René-Lévesque,-73.625963,45.452413,106374
Angrignon / bretelle Notre-Dame dir Sud,-73.662479,45.562626,107395
Christophe-Colomb / Henri-Bourassa,-73.618085,45.519849,36746
avenue Ducharme / avenue Dollard,-73.618713,45.519176,4477
Ducharme / McEachran,-73.617497,45.520527,8156
avenue Ducharme / avenue Stuart,-73.651222,45.559319,3767
Christophe-Colomb / Sauvé,-73.681852,45.528786,14916
Jules-Poitras / Sortie A-15 dir. Sud / Crépeau,-73.558211,45.512699,14862
René-Lévesque / Saint-Denis,-73.556978,45.512138,17765
La Gauchetière / Saint-Denis,-73.602739,45.581015,7632
D'Artagnan / Viau,-73.603079,45.582464,8183
Jean-Nicolet / Viau,-73.633868,45.450343,8658
Sainte-Anne-de-Bellevue / Voie de service A20 Ouest,-73.632153,45.449553,29582
Notre-Dame / Sainte-Anne-de-Bellevue,-73.628387,45.451475,18124
Notre-Dame / Voie du Petit-Talus,-73.626374,45.452772,18339
Angrignon/ Voie de service A20 Est,-73.626762,45.453204,30492
Angrignon / Voie de service A20 Ouest,-73.649786,45.531197,22613
Acadie / Crémazie inter. Nord,-73.677845,45.51491,41317
Decelles / Sainte-Croix,-73.649786,45.531197,16765
Acadie / Crémazie inter. Nord,-73.677845,45.51491,40590
Decelles / Sainte-Croix,-73.649786,45.531197,17733
Acadie / Crémazie inter. Nord,-73.677845,45.51491,42897
Decelles / Sainte-Croix,-73.584862,45.49087,17234
Lambert-Closse / Maisonneuve,-73.583593,45.49012,5466
Lambert-Closse / Sainte-Catherine,-73.585775,45.490069,10261
Atwater / Maisonneuve,-73.558211,45.512699,17760
René-Lévesque / Saint-Denis,-73.556978,45.512138,16818
La Gauchetière / Saint-Denis,-73.557765,45.511142,6657
La Gauchetière / Sanguinet,-73.55614,45.513033,5534
rue Berri / rue De La Gauchetière,-73.657535,45.499523,9698
Mountain Sights / Savane,-73.649529,45.50072,6686
Savane / Victoria,-73.649226,45.499677,6711
Paré / Victoria,-73.551756,45.525462,5554
Lorimier / Maisonneuve,-73.721784,45.531224,37311
Gouin / Lachapelle,-73.72325,45.529705,27341
Gouin / Laurentien,-73.629693,45.550739,29606
Christophe-Colomb / Crémazie inter. Nord,-73.629366,45.550244,44681
Christophe-Colomb / Crémazie inter. Sud,-73.724109,45.529197,35932
rue Cousineau / boulevard Gouin,-73.551756,45.525462,9677
Lorimier / Maisonneuve,-73.721784,45.531224,32934
Gouin / Lachapelle,-73.72325,45.529705,23269
Gouin / Laurentien,-73.551756,45.525462,26855
Lorimier / Maisonneuve,-73.721784,45.531224,37716
Gouin / Lachapelle,-73.72325,45.529705,26324
Gouin / Laurentien,-73.650547,45.500574,29297
Kindersley / Savane,-73.55964,45.547019,7591
Davidson / Rachel/Saint-Michel,-73.634508,45.450954,8842
Brock Sud / Sainte-Anne-de-Bellevue,-73.625429,45.453223,13315
Voie de service A20 Est / Tournebride,-73.623768,45.454044,5298
Voie de service A20 Est / Rue A8,-73.605648,45.435229,5919
Lapierre / 1111 CEGEP A-Laurendeau,-73.583335,45.558405,4572
16 e Avenue / Beaubien,-73.579595,45.557256,6708
16 e Avenue / Bellechasse,-73.563925,45.527945,3014
Papineau / Sherbrooke,-73.582919,45.523963,36958
Mont-Royal / Saint-Denis,-73.519566,45.6447,36568
Industriel / Saint-Jean-Baptiste,-73.529573,45.648813,18880
Saint-Jean-Baptiste / Autoroute 40 nord,-73.6463,45.581382,17390
Prieur / Saint-Michel,-73.618829,45.605621,13501
Amos d' / Lacordaire,-73.569247,45.519079,24188
Berri / Cherrier,-73.58638,45.520102,13374
Mont-Royal / Saint-Laurent,-73.594388,45.518993,26018
Parc / Saint-Joseph,-73.574572,45.532918,30090
Mont-Royal / Papineau,-73.588641,45.517525,27896
Jeanne-Mance / Mont-Royal,-73.707572,45.522194,10122
Henri-Bourassa / Marcel-Laurin,-73.701659,45.518578,44581
Marcel-Laurin / Galerie St-Laurent St-Exupéry,-73.778134,45.504587,29384
Gouin / Lalande,-73.675059,45.509429,19216
Collège / Décarie,-73.734029,45.522499,15697
boulevard Toupin / avenue Jean-Bourdon,-73.593053,45.515753,4513
Côte-Sainte-Catherine / McNider,-73.619035,45.614951,9931
Maurice-Duplessis / Rolland,-73.628828,45.609857,10403
boulevard Maurice-Duplessis / boulevard Sainte-Colette,-73.687264,45.514202,3400
rue Cardinal / rue Rochon,-73.681008,45.526275,6247
rue Deguire / rue Muir,-73.672989,45.526196,2958
boulevard Jules-Poitras / boulevard Thompson,-73.705531,45.521002,11512
Laval / Marcel-Laurin,-73.811746,45.498299,27572
boulevard des Sources / rue 14e,-73.618958,45.508049,22722
Côte-Sainte-Catherine / Wilderton,-73.618856,45.503262,17475
Edouard-Montpetit / Louis-Colin,-73.62407,45.509849,22216
Van Horne / Wilderton,-73.631326,45.51332,16725
Bates / Wilderton,-73.556337,45.492999,11808
rue de la Commune / rue Peel,-73.571425,45.462097,2375
Galt / Verdun,-73.569514,45.472309,11077
Henri-Duhamel / LaSalle,-73.570526,45.472294,6469
Henri-Duhamel / Verdun,-73.641,45.594353,7097
Amos d' / Pie-IX,-73.625292,45.611712,12915
Lacordaire / Maurice-Duplessis,-73.558643,45.532059,12957
Fullum / Rouen,-73.556073,45.529419,4670
Ontario / Parthenais,-73.562484,45.532453,8127
Parthenais / Sherbrooke,-73.559558,45.531073,16432
rue Parthenais / rue de Rouen,-73.558643,45.532059,3164
Fullum / Rouen,-73.556073,45.529419,5210
Ontario / Parthenais,-73.562484,45.532453,7899
Parthenais / Sherbrooke,-73.559558,45.531073,15710
rue Parthenais / rue de Rouen,-73.647837,45.471639,3615
Cavendish / Côte-Saint-Luc,-73.641888,45.469307,11707
Cavendish / Fielding,-73.632238,45.465176,8240
Cavendish / Monkland,-73.63824,45.467885,8840
Cavendish / Somerled,-73.635243,45.46674,8902
Cavendish / Terrebonne,-73.624211,45.461489,7228
Cavendish / Saint-Jacques,-73.62897,45.463725,12422
Cavendish / Sherbrooke,-73.645526,45.470719,14069
Cavendish / Chester,-73.653928,45.474434,5876
boulevard Cavendish / chemin Fleet,-73.5551,45.521848,15260
Alexandre-DeSève / Maisonneuve,-73.562297,45.585614,7981
Beaubien / Carignan/Saint-Zotique,-73.623041,45.612883,6980
Désy / Maurice-Duplessis,-73.699216,45.518044,6257
Poirier / Accès commerces entre Marcel-Laurin et Grenet,-73.760089,45.507896,8608
Gouin / Sortie A-13 (int.Est) Pitfield,-73.761505,45.507582,13994
boulevard Gouin / boulevard Pitfield (Int Ouest),-73.756877,45.503336,22842
rue De Salaberry / boulevard Pitfield,-73.756368,45.503585,19629
boulevard Pitfield / rue Thimens,-73.609147,45.540129,16459
Bélanger / Boyer,-73.665602,45.535649,6598
Acadie / Sauvé,-73.663816,45.535443,26215
Acadie / Port-Royal,-73.623596,45.605454,17643
Henri-Bourassa / Jean-Meunier,-73.619976,45.606674,15938
Henri-Bourassa / Lacordaire,-73.624223,45.605248,52756
Henri-Bourassa / Sainte-Colette,-73.562038,45.497108,15988
Inspecteur / Notre-Dame,-73.562987,45.495417,7834
Notre-Dame / Peel,-73.559398,45.494027,30799
Ottawa / Peel,-73.557432,45.493303,17377
Peel / Wellington,-73.561355,45.494764,24807
Peel / William,-73.561797,45.496972,17227
Inspecteur / Saint-Maurice,-73.567305,45.498146,4721
Cathédrale / La Gauchetière,-73.566016,45.497523,17467
Cathédrale / Saint-Antoine,-73.564691,45.496892,36081
Cathédrale / Saint-Jacques,-73.566682,45.498976,18185
La Gauchetière / Mansfield,-73.56861,45.497774,24541
La Gauchetière / Peel,-73.565142,45.498217,14099
Mansfield / Saint-Antoine,-73.563943,45.497645,29221
Mansfield / Saint-Jacques,-73.566802,45.496897,16596
Peel / Saint-Antoine,-73.565369,45.496197,38165
Peel / Saint-Jacques,-73.56771,45.496189,25527
Jean-d'Estrées / Saint-Antoine,-73.566136,45.495377,25109
Jean-d'Estrées / Saint-Jacques,-73.562701,45.495919,13556
Cathédrale / Notre-Dame,-73.56307,45.589215,8770
Langelier / Michel-Bouvier,-73.622223,45.544736,8676
Rosaire du / Saint-Hubert,-73.581505,45.62527,4797
Armand-Bombardier / Henri-Bourassa Est/Ray-Lawson,-73.640487,45.577688,40213
Mont-Joli / Saint-Michel,-73.624539,45.600271,8933
Alfred / Charleroi de,-73.711277,45.50537,5916
Cavendish / Poirier,-73.6231,45.601033,17755
Charleroi de / Salk,-73.648188,45.443643,5729
Saint Jacques / Saint-Pierre,-73.644968,45.445635,13229
Ouellette / Saint-Jacques,-73.646589,45.444628,11293
avenue du Chalet / rue Saint-Jacques,-73.647546,45.443176,12184
Saint-Pierre / Sortie A-20 (int. Nord),-73.569129,45.495068,15053
Montagne / Saint-Antoine,-73.567297,45.494174,16239
Montagne / Saint-Jacques,-73.56346,45.499621,14263
Robert-Bourassa / Saint-Antoine,-73.564447,45.500331,30642
Robert-Bourassa / Viger,-73.567807,45.494393,22534
rue de la Montagne / sortie R-136,-73.642666,45.580096,6461
rue Fleury / avenue Audoin,-73.634012,45.611306,5381
rue Aubin / avenue Salk,-73.642666,45.580096,764
rue Fleury / avenue Audoin,-73.634012,45.611306,5238
rue Aubin / avenue Salk,-73.642666,45.580096,694
rue Fleury / avenue Audoin,-73.631678,45.588395,2427
rue Forest / avenue de l' Hôtel-de-Ville,-73.626998,45.622436,3528
rue Racine / boulevard Rolland,-73.631678,45.588395,484
rue Forest / avenue de l' Hôtel-de-Ville,-73.626998,45.622436,3204
rue Racine / boulevard Rolland,-73.64549,45.490746,487
Décarie / Plamondon inter. Ouest,-73.624744,45.62031,4084
boulevard Rolland / rue Villeneuve,-73.64549,45.490746,3443
Décarie / Plamondon inter. Ouest,-73.624744,45.62031,8245
boulevard Rolland / rue Villeneuve,-73.632139,45.614291,3559
rue Aubin / avenue Lanthier,-73.633006,45.615077,394
avenue Lanthier / rue Marcel-Monette,-73.632139,45.614291,305
rue Aubin / avenue Lanthier,-73.633006,45.615077,355
avenue Lanthier / rue Marcel-Monette,-73.623454,45.616991,263
rue Arthur-Chevrier / avenue Corbeil,-73.621674,45.596486,4302
rue d' Amiens / avenue Brunet,-73.634872,45.616618,4066
boulevard Gouin / avenue Lanthier,-73.633546,45.615603,2225
avenue Lanthier / rue Léopold-Pouliot,-73.634872,45.616618,221
boulevard Gouin / avenue Lanthier,-73.633546,45.615603,1939
avenue Lanthier / rue Léopold-Pouliot,-73.636286,45.613467,191
boulevard Gouin / avenue Salk,-73.635508,45.612721,2366
rue Léopold-Pouliot / avenue Salk,-73.636286,45.613467,514
boulevard Gouin / avenue Salk,-73.635508,45.612721,1980
rue Léopold-Pouliot / avenue Salk,-73.63325,45.61061,491
avenue Salk / rue de Séville,-73.631306,45.608754,1976
rue Perras / avenue Salk,-73.629344,45.606894,2095
rue de la Gare / avenue Salk,-73.629785,45.607326,1258
avenue Salk / rue William-Allan,-73.629344,45.606894,1113
rue de la Gare / avenue Salk,-73.629785,45.607326,1442
avenue Salk / rue William-Allan,-73.624928,45.602741,1240
rue d' Amos / avenue Salk,-73.628964,45.606534,2737
avenue Salk / avenue Thomas-Chapais,-73.624928,45.602741,1369
rue d' Amos / avenue Salk,-73.628964,45.606534,2818
avenue Salk / avenue Thomas-Chapais,-73.625537,45.60333,1537
rue Jules-Fournier / avenue Salk,-73.753675,45.510299,2794
Camille / Gouin/Ruisseau,-73.760089,45.507896,7245
Gouin / Sortie A-13 (int.Est) Pitfield,-73.761505,45.507582,10863
boulevard Gouin / boulevard Pitfield (Int Ouest),-73.56737,45.532774,17077
Lorimier / Rachel,-73.651551,45.58086,33737
Henri-Bourassa / Larose,-73.6546,45.57681,14864
Henri-Bourassa / Lille,-73.657137,45.572868,16185
Henri-Bourassa / Saint-Firmin,-73.652523,45.579345,16090
Henri-Bourassa / Sackville,-73.668654,45.554479,14933
Berri / Henri-Bourassa,-73.664735,45.561717,23938
Chambord / Henri-Bourassa,-73.662479,45.562626,17647
Christophe-Colomb / Henri-Bourassa,-73.665738,45.560375,21348
Georges-Baril / Henri-Bourassa,-73.66821,45.55522,17675
Henri-Bourassa / Lajeunesse,-73.669913,45.552033,20596
Henri-Bourassa / Laverdure,-73.670912,45.550336,17010
Henri-Bourassa / Saint-Laurent,-73.674487,45.544495,19828
Henri-Bourassa / Tanguay,-73.673409,45.546215,17035
Henri-Bourassa / Tolhurst,-73.679608,45.53635,17460
Henri-Bourassa / Marcelin-Wilson,-73.639141,45.59995,18574
Henri-Bourassa / Léger,-73.657903,45.571357,10747
Henri-Bourassa / Séguin,-73.648151,45.588788,15053
Henri-Bourassa / Mère Anselme / Parc-Georges,-73.645883,45.591798,13820
Henri-Bourassa / Rome de,-73.646854,45.590633,13889
Henri-Bourassa / Saint-Vital,-73.624223,45.605248,16289
Henri-Bourassa / Sainte-Colette,-73.651587,45.549618,15607
Berri / Louvain,-73.651223,45.550286,8038
Lajeunesse / Louvain,-73.649518,45.553221,7221
Louvain / Saint-Hubert,-73.554997,45.51251,9684
Berri / Viger,-73.558211,45.512699,19089
René-Lévesque / Saint-Denis,-73.555792,45.511608,17813
Saint-Denis / Viger,-73.556628,45.510639,16696
Sanguinet / Viger,-73.600843,45.53859,21723
rue De La Roche / rue Beaubien,-73.617686,45.54793,8010
rue Chambord / rue Villeray,-73.606188,45.538054,3815
rue Saint-André / rue Saint-Zotique,-73.600843,45.53859,5916
rue De La Roche / rue Beaubien,-73.617686,45.54793,7515
rue Chambord / rue Villeray,-73.606188,45.538054,3648
rue Saint-André / rue Saint-Zotique,-73.600843,45.53859,5358
rue De La Roche / rue Beaubien,-73.617686,45.54793,10898
rue Chambord / rue Villeray,-73.606188,45.538054,3707
rue Saint-André / rue Saint-Zotique,-73.557202,45.537468,10043
Hochelaga / Hogan,-73.556453,45.538643,7995
Hochelaga / Wurtele,-73.543786,45.559352,9521
Hochelaga / Leclaire,-73.554702,45.541497,12242
Hochelaga / Moreau,-73.548232,45.552548,12953
Hochelaga / Pie-IX,-73.542433,45.561485,22280
Hochelaga / Viau,-73.647156,45.442633,17469
Saint-Pierre / Sortie A-20 (int. Sud),-73.647546,45.443176,12352
Saint-Pierre / Sortie A-20 (int. Nord),-73.647026,45.442309,11486
Notre-Dame / Saint-Pierre (Lachine),-73.58043,45.492817,16542
Sainte-Catherine / Saint-Marc,-73.560893,45.52359,15385
Ontario / Plessis,-73.556427,45.583864,7199
Carignan / Rosemont,-73.565251,45.580364,12131
Beaubien / Lacordaire,-73.56307,45.589215,31640
Langelier / Michel-Bouvier,-73.562297,45.585614,13030
Beaubien / Carignan/Saint-Zotique,-73.560505,45.58846,16205
Beaubien / Langelier,-73.577266,45.522802,32146
Berri / Rachel,-73.567649,45.590296,11626
Bélanger / Langelier,-73.569113,45.581642,25109
Lacordaire / Saint-Zotique,-73.572586,45.582793,28454
Bélanger / Lacordaire,-73.603267,45.526156,37099
Bernard / Saint-Urbain,-73.580484,45.515763,16983
Duluth / Saint-Urbain,-73.595599,45.522678,8987
Fairmount / Saint-Urbain,-73.593869,45.521868,15207
Laurier / Saint-Urbain,-73.585157,45.517877,16358
Marie-Anne / Saint-Urbain,-73.587458,45.518903,11503
Mont-Royal / Saint-Urbain,-73.573624,45.512668,18879
Prince-Arthur / Saint-Urbain,-73.57829,45.51476,13498
Saint-Cuthbert / Saint-Urbain,-73.599979,45.524629,8001
Saint-Urbain / Saint-Viateur,-73.629056,45.530156,16004
Querbes / Saint-Roch,-73.612802,45.531359,9856
Clark / Saint-Zotique,-73.571547,45.477125,11868
Argenson / Centre,-73.569363,45.478463,4683
Centre / Charlevoix,-73.564503,45.48143,9233
Centre / Island,-73.565818,45.480621,4368
Centre / Laprairie,-73.562076,45.482906,4516
Centre / Shearer,-73.567144,45.479815,4231
Centre / Ropery,-73.560583,45.483813,5242
Centre / de la Sucrerie,-73.558448,45.485116,2443
rue du Centre / rue De Condé,-73.562963,45.482361,2451
rue Jardin / rue du Centre,-73.563682,45.48193,2750
rue Soulanges / rue du Centre,-73.559517,45.484466,2832
rue De Montmorency / rue du Centre,-73.590452,45.520264,1912
Saint-Urbain / Villeneuve,-73.622569,45.48091,12453
Côte-Saint-Luc / Décarie inter. Est,-73.622872,45.48059,19873
Côte-Saint-Luc / Décarie inter. Ouest,-73.575251,45.547531,18008
5 e Avenue / Masson,-73.574221,45.549194,15752
8 e Avenue / Masson,-73.57117,45.554611,7211
16 e Avenue / Masson,-73.572781,45.557489,4420
Bourbonnière / Dandurand,-73.57006,45.556617,6117
Bourbonnière / Masson,-73.601884,45.532574,4523
Bellechasse / Saint-Denis,-73.576559,45.545308,16151
1 ere Avenue / Masson,-73.575925,45.546419,7535
3 e Avenue / Masson,-73.580932,45.561162,7541
avenue 20e / rue Beaubien,-73.578361,45.548458,6266
avenue 5e / rue Dandurand,-73.577295,45.544117,9265
rue Molson / rue Masson,-73.576256,45.551904,10786
Dandurand / Saint-Michel,-73.57119,45.559917,17054
Dandurand / Pie-IX,-73.570429,45.550175,14468
Laurier / Saint-Michel,-73.568468,45.559036,13206
Masson / Pie-IX,-73.573145,45.55098,13734
Masson / Saint-Michel,-73.573839,45.56077,19470
Pie-IX / Rosemont,-73.580398,45.553225,22974
Rosemont / Saint-Michel,-73.56825,45.54952,24346
Saint-Joseph / Saint-Michel,-73.672213,45.548159,18380
rue Waverly / boulevard Henri-Bourassa,-73.671834,45.548804,16889
rue Saint-Urbain / boulevard Henri-Bourassa,-73.674132,45.545058,17206
rue Verville / boulevard Henri-Bourassa,-73.674871,45.543936,17489
rue Hogue / boulevard Henri-Bourassa,-73.67376,45.545644,17657
rue Jeanne-Mance / boulevard Henri-Bourassa,-73.673026,45.546846,17180
rue Meunier / boulevard Henri-Bourassa,-73.671459,45.549431,16321
rue Clark / boulevard Henri-Bourassa,-73.669431,45.552967,15445
avenue D'Auteuil / boulevard Henri-Bourassa,-73.670389,45.551223,17679
boulevard Grande-Allée / boulevard Henri-Bourassa,-73.58476,45.532408,16706
Brébeuf / Laurier,-73.581339,45.53604,7490
Laurier / Papineau inter. Nord,-73.61058,45.562651,11249
9 e Avenue / Jarry,-73.613781,45.559082,7324
Iberville / Jarry,-73.612352,45.560674,15565
2 e Avenue / Jarry,-73.632153,45.449553,10088
Notre-Dame / Sainte-Anne-de-Bellevue,-73.629729,45.450676,17533
Notre-Dame / rue de la Berge du Canal,-73.646423,45.552331,15117
Chabanel / Saint-Hubert,-73.649518,45.553221,7725
Louvain / Saint-Hubert,-73.618569,45.542274,10562
Châteaubriand / Faillon,-73.62152,45.543631,5336
Châteaubriand / Villeray,-73.618008,45.542904,7002
Faillon / Saint-Hubert,-73.620952,45.544243,5096
Saint-Hubert / Villeray,-73.620952,45.544243,7555
